user_name,verified,location,friends,followers
drnando,False,ENSENARNIA,250,271
RafaValdez,False,"Parque Sinaloa, Ahome",3461,1589
LITZYJSALAZAR,False,"Allende, Nuevo León",294,1228
Mrpatata,False,"iPhone: 19.457619,-99.068069",3451,824
arycardenas,False,"Distrito Federal, México",364,210
agonzr,False,"Monterrey, Nuevo León",626,3162
Hector_Sampablo,False,México D.F.,196,52
qtalkarlos79,False,0,1740,78
IsaCouoh,False,México,2220,357
iLuistrejo,False,México D.F,536,1658
DAVIDSCM,False,XALAPA,100,361
monniamendoza,False,"Huatabampo, Sonora",132,405
Angel__Delgado,False,"ÜT: 19.0555164,-98.1955386",391,953
jesseBarraza23,False,"Campeche, México",449,198
an_gl17,False,México. ,98,212
paugutierrezf,False,"Monterrey, México",267,235
pablocafra8,False,"Metepec, México",202,19
YessicaInurreta,False,"Campeche, México",393,786
req_uiem_,False,Nowhere land.,258,363
iliana_cl,False,LM,318,384
jabloog,False,"Veracruz, Veracruz de Ignacio de la Llave",495,577
freakhades,False,0,378,478
_alejandraverag,False,0,158,407
JuanjoMaldo98,False,"Monterrey, Nuevo Leon",302,304
armandoquirasco,False,0,675,775
GiulioelRagazzo,False,México,925,710
rafamtzo_,False,"Monterrey, Nuevo León",979,1920
unapelirroja__,False,0,391,526
OscarLopCabello,False,"MONTERREY, MEXICO",84,321
iamabyguzman,False,0,272,51662
Tadeycervantes1,False,0,910,794
gzznadi,False,Monterrey,1529,426
isistrawberry,False,0,300,367
REVRAH,False,"GANIMEDES, fondo a la derecha",1141,2547
Elenattorres,False,"Xalapa, ver",439,282
chacho_alvarez,False,"México, no se burlen",7799,7203
TecMilenio_MAZ,False,Mazatlan,38,542
69_mau,False,0,101,147
vsm242802,False,"Quintana Roo, México",858,910
paola_milvillas,False,"La Paz, Baja California Sur",671,170
tacitagp,False,Querétaro,238,90
LiLiDV,False,0,809,340
AlexiaHerrera4,False,"Ignacio de la Llave, Veracruz ",504,480
juanbacteria,False,"Agua Puerca, MX",408,234
vxxyrx,False,Tribu Agua del Norte,767,1229
SantiGurtubay,False,t9,13533,13501
Carlosfomperosa,False,0,233,594
maa__ra,False,Mèxico,769,1207
castroadrian,False,"México, D.F.",811,298
sheisannna,False,distrito federal,864,1101
juliiooooooooo,False,guanajuato méxico,499,582
martukish,False,Northern Ireland,2107,1264
Sarahdavilar,False,0,590,711
_elivaalverde,False,0,512,437
viajerovertical,False,0,91,9586
ivandavid6024,False,Omnipresente,2409,724
omsbade,False,Puebla.,596,217
juanem87,False,0,2154,15800
Dianis_Ruby,False,0,279,182
AlanMaranto,False,Monterrey,2377,987
santiagocarde96,False,San Casteabro,354,228
yaza_reth,False,CDMX,415,263
lalohdez14,False,"Lerdo de Tejada,Veracruz, Mex.",334,862
DionicioFranco,False,Mexico,270,429
MarianReynna,False,"Monterrey,Nuevo Leon.",470,4422
aleskaacosta,False,0,279,403
anali_ap23,False,0,164,271
vanessaOI3,False,0,404,433
alefi__,False,0,1556,657
reenatasalomon,False,Mexico City,780,1091
RicarrdoValles,False,"Durango, México",422,625
JonasInTheBox,False,Ciudad de México,362,202
VeronicapuenteN,False,0,205,125
NeydinY,False,"Monterrey, Nuevo León",247,3312
CronicasVicino,False,México City,1985,2222
andreavmier,False,0,579,1959
DavidMaya19,False,"Wellington, New Zealand",1510,678
flamariquev,False,0,608,1369
yk_neria,False,0,68,36
Cristianzuma,False,"Tuxtla Gutierrez,, Chiapas",506,337
aleaguilarn,False,Alcatraz,1075,1324
LupitaOsT,False,0,449,356
AlexX0422,False,0,127,21
ilse_julianne,False,Hermosillo/Monterrey,66,337
figopuma,False,chilanga banda,2446,1208
Danielflorescar,False,Toluca ,435,382
cekriv,False,Cdmx (En el café),336,257
elizabethjone13,False,0,451,355
Nathst21,False,México,258,348
robertoherrerm,False,0,270,679
lpatilrosas,False,"Tampico, Tamaulipas",725,542
Zamarripa_Diego,False,CDMX,80,221
_BrendaArroyo,False,Acapulco ,111,136
gloriarochaH,False,0,206,331
nick_5530,False,"Tampico, Tamaulipas",843,737
andrea_hzermeno,False,"San Luis Potosí, México",966,510
ItzelCelicRM,False,Entre el 1 y 2 ⭕️del infierno,418,244
Lyan892,False,Miami ,204,225
lavalentinaaaaa,False,"Yucatán, México",812,720
RaaulLechuga,False,"Cancun QuintanaRoo,Mexico",310,1091
HeyJezzie,False,"Monterrey, Nuevo León",840,816
paaulaleal,False,0,507,476
_ErikBoy,False,0,484,1566
ZahiraAnahit,False,0,378,568
danielatlego,False,México,493,358
exbtsoo,False,"Carmen, Campeche",1591,1568
bethsalcidoo,False,"Guadalajara, Jalisco",96,1420
photomatronica,False,"Nayarit, México",354,379
jo_gabo,False,México,142,276
gabrielamuela28,False,Mexico,369,482
Marifer_mh,False,Guadalajara ,237,99
ApoloIX,False,CDMX ,88,224
IselaReveles,False,"Zapopan, Jalisco",171,355
JesusAlcantaraL,False,Tlalnepantla de Baz,67,335
Roxi_perez90,False,"Markt Indersdorf, Deutschland",48,24
ripper2hl,False,Guadalupe,649,215
DemianLan,False,"Culiacán, Sinaloa",491,481
yes_estaloca,False,México City,260,1546
giolt0,False,"Monterrey, México",195,629
CharlieBrownie4,False,Miguel Hidalgo,434,852
WormPunk82,False,Gotham City,149,98
typicalnutri,False,"Hermosillo, Sonora",211,415
dullevv,False,"Puebla, México",335,407
HumberCooper,False,"Los Angeles, CA",676,251
zNoortt,False,"San Luis Potosí, México",1401,222
edcondobled,False,"Puebla, México",1164,1213
LOGANMARIO,False,"MEXICO, DF",3500,872
loletapop,False,México 🇲🇽,231,330
renattaal,False,"Sinaloa, México",391,415
Fotograma_24,False,0,654,352
csoberanis7,False,"México, Mérida",1665,737
_Ruuubs,False,"Distrito Federal, México",636,627
gabssos,False,Colima. Mx,266,97
Ahiret_MALEC,False,Dumb Dumb Town ,1627,1112
fercolungaaa,False,México,310,404
_bramirezd,False,"Distrito Federal, México",301,93
ale_Ibanezz,False,"Guadalajara, Jal.",2136,849
ClauPerezM_,False,0,378,317
CARO_TaeYeon,False,Metepec-CDMX,132,1402
Palluza_pao,False,México,2428,2045
RoboMalteada,False,0,63,99
nayegarsa,False,"Guanajuato, México",348,179
emilioGonzalezU,False,"Culiacan, Sinaloa",379,213
fotografiandy,False,México,515,303
MitzyGNavarro,False,0,916,582
iiarocherry,False,"Mérida, Yuc",240,359
isidro1_,False,MEXICO CITY,3816,516
cebra_v,False,México,363,476
CeroMiedoViejo,False,"Guadalajara, Mexico",373,468
vivianaacl,False,En todos lados y en ninguno ,481,1150
garutejocotes,False,Ciudad de México ,241,3204
Ruben_HurtadoJr,False,"Hermosillo, Sonora",542,766
alvaroLVP,False,0,404,359
sssoffgr,False,"Ensenada, Baja California",145,898
vlrbrrvrl,False,"Monterrey, Nuevo León",239,316
Dana_Bosquez,False,"Veracruz, Veracruz de Ignacio ",334,867
cblascoregalado,False,0,68,952
AranzaaHt,False,0,511,600
adarelygasso,False,Veracruz,647,1112
PabloDanielPJ,False,"Villahermosa, tabajco",618,88
JavierJamaika,False,"Queretaro, México.",811,374
jorgeluisdlrr,False,"Papantla de Olarte, Veracruz",157,338
FerZatarain1,False,"Mazatlán, Sinaloa",545,1322
KimberlyBistre,False,México,1968,773
_MaggyEscobar,False,"Chiapas, México",416,361
tv_euge,False,Yellow Submarine,239,65
Paula_GDL,False,"Cd. Obregon, Sonora",316,494
JDanielBs1,False,Mexico,24,131
DelhiMichelle,False,0,414,235
AYinger8,False,"Mazatlán, Sinaloa",340,380
SamEfr,False,"Culiacán, Sinaloa",492,652
sebasti41899627,False,México,2846,949
leliharrel,False,"Monterrey, Nuevo León",607,771
botiquindestilo,False,#Gdl,236,3613
alexrey2016,False,México,359,201
Carls_Jr1,False,0,655,509
JesusCebaallos,False,"Xalapa, Veracruz de Ignacio de",667,375
DrCaliente_ofi,False,ni yo sé,169,476
EnriqueJacobR,False,"Naucalpan, Estado de México",1240,46982
PatricioTruji,False,0,432,225
frnndbrnl,False,"Guadalajara, Jalisco",270,268
MajoRv_,False,Primer semáforo a la derecha,447,1331
olivercarmonaca,False,"Acapulco de Juárez, Guerrero",379,1254
manuel_arango,False,"Mexicali, Baja California",1161,482
beikongg,False,Mexico,405,594
elnuncaduerme,False,0,544,28
rafalvaradoluna,False,Tuitah!,2141,2140
kariisma,False,"Nuevo León, México",702,522
mariscastillooo,False,Mexico City,983,340
RicardoBlanco,True,Latin America,7901,7716
anna__or,False,"Arandas, Jalisco",1057,838
Alfredo_Glezm,False,"Toluca, Estado de México",1667,428
laloxyz,False,mexico city ,161,93
Jovs8a,False,México D.F.,496,282
KarJacqueline,False,"Torreón, Coahuila. ",415,634
jame_88,False,"Mixcoac, Benito Juárez",159,162
TuRy_Forever,False,"Zona Hotelera, Benito Juárez",172,66
KennyaDiaz_,False,"Morelos, México",22539,98411
_josemarti,False,"Chihuahua, México",258,360
Siempretequejas,False,"Mérida, México",275,138
Cihuamixtli,False,México,342,208
PauwerCortes,False,0,136,124
alexp_98,False,"Navolato, Sinaloa",244,219
Pam_Guerrero12,False,0,253,254
RichFokalot,False,El multiverso del perreo ,1900,3448
smgoc,False,Veracruz/Las Choapas✌️,492,587
